client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
1944,Visa,Credit,4803534694306010,2021-09-01,383,YES,1,11100,2002-01-01,2009
1731,Amex,Credit,375953550153829,2022-12-01,888,YES,1,13700,2003-01-01,2017
321,Discover,Credit,6707808786309870,2011-05-01,449,YES,2,11100,2003-01-01,2004
1391,Mastercard,Debit,5914243757284140,2012-10-01,436,YES,2,6552,2003-01-01,2010
840,Mastercard,Debit,5486901761554150,2023-10-01,258,YES,2,5269,2003-01-01,2016
115,Mastercard,Credit,5419421476993330,2024-11-01,290,NO,1,20300,2003-01-01,2015
696,Mastercard,Debit,5562768142811100,2024-10-01,267,YES,2,21225,2003-01-01,2012
1635,Mastercard,Debit,5488012775349760,2008-10-01,697,YES,2,5029,2003-01-01,2009
1140,Mastercard,Credit,5586713288069320,2022-07-01,232,YES,2,17000,2003-01-01,2009
825,Visa,Credit,4879494103069050,2024-08-01,693,NO,1,12400,2003-01-01,2012
1769,Visa,Credit,4088292829841500,2024-06-01,140,YES,1,9700,2003-01-01,2020
1267,Visa,Debit,4194403279790050,2024-08-01,282,YES,2,27584,2003-01-01,2008
1571,Visa,Debit,4137249838027630,2023-04-01,861,YES,2,33390,2003-01-01,2007
732,Visa,Debit (Prepaid),4820966230615070,2022-11-01,662,YES,2,63,2003-01-01,2010
674,Visa,Credit,4462302223450820,2003-04-01,869,YES,1,8000,2003-01-01,2008
1695,Amex,Credit,334769960118945,2020-06-01,735,YES,2,4100,2004-01-01,2004
16,Mastercard,Debit,5289860104321080,2015-08-01,59,YES,2,1575,2004-01-01,2005
994,Mastercard,Credit,5313764903937410,2007-08-01,767,YES,2,6000,2004-01-01,2010
584,Mastercard,Debit,5556324903959050,2023-12-01,331,NO,2,8970,2004-01-01,2010
1530,Mastercard,Credit,5557818075031910,2021-01-01,978,YES,2,500,2004-01-01,2008
905,Mastercard,Debit,5360731476529060,2023-12-01,898,NO,2,64321,2004-01-01,2007
1364,Mastercard,Debit,5673928924089100,2016-07-01,821,YES,2,0,2004-01-01,2008
62,Mastercard,Debit,5966550024798420,2024-09-01,577,YES,1,19211,2004-01-01,2015
1772,Mastercard,Debit (Prepaid),5993362497379570,2020-03-01,94,YES,2,96,2004-01-01,2011
1092,Mastercard,Debit,5575214152731770,2016-01-01,88,YES,2,4546,2004-01-01,2010
241,Mastercard,Debit,5337331365480770,2019-04-01,672,YES,2,12861,2004-01-01,2008
1352,Visa,Debit,4969931231497490,2019-11-01,728,YES,2,12528,2004-01-01,2012
63,Visa,Debit,4840372814737200,2022-11-01,357,YES,2,17082,2004-01-01,2011
1186,Visa,Debit (Prepaid),4684695086265300,2022-09-01,621,YES,1,47,2004-01-01,2013
234,Visa,Credit,4651180699756030,2024-02-01,460,YES,1,12600,2004-01-01,2011
275,Visa,Debit,4651206649559680,2023-04-01,125,YES,1,30891,2004-01-01,2011
929,Amex,Credit,375292277672255,2021-03-01,667,YES,2,36200,2005-01-01,2007
1357,Amex,Credit,302737588175602,2020-04-01,900,YES,2,14600,2005-01-01,2014
1430,Discover,Credit,6955304802437570,2020-03-01,792,YES,1,12200,2005-01-01,2013
1296,Mastercard,Credit,5181226307106930,2024-11-01,820,YES,2,15500,2005-01-01,2014
645,Mastercard,Debit,5148390223991030,2021-04-01,316,YES,2,9297,2005-01-01,2012
826,Mastercard,Credit,5019514365242810,2024-05-01,508,YES,1,13900,2005-01-01,2012
1993,Mastercard,Credit,5703701005597040,2012-09-01,789,YES,2,19500,2005-01-01,2010
440,Mastercard,Debit,5336536496743890,2021-10-01,805,YES,2,36724,2005-01-01,2010
1517,Mastercard,Debit,5515747009144500,2024-01-01,306,YES,2,19670,2005-01-01,2009
1697,Mastercard,Debit,5683833994969610,2006-04-01,884,YES,1,13634,2005-01-01,2011
1175,Mastercard,Debit,5479439443272540,2010-11-01,248,YES,2,10670,2005-01-01,2009
1749,Mastercard,Debit (Prepaid),5535901079667190,2020-02-01,480,NO,1,50,2005-01-01,2013
462,Mastercard,Debit,5131584971414260,2010-04-01,655,YES,2,26303,2005-01-01,2008
478,Mastercard,Debit (Prepaid),5659072921204160,2023-11-01,602,YES,2,10,2005-01-01,2011
1514,Mastercard,Debit,5602736350449910,2024-12-01,673,YES,1,1846,2005-01-01,2005
1116,Visa,Credit,4400056931148230,2021-02-01,497,YES,1,16100,2005-01-01,2014
1296,Visa,Debit (Prepaid),4310689470082080,2023-06-01,458,YES,1,13,2005-01-01,2008
1346,Visa,Credit,4509891646969770,2024-03-01,503,YES,2,1500,2005-01-01,2009
957,Visa,Debit,4823239404534030,2021-10-01,123,YES,2,28717,2005-01-01,2014
774,Visa,Debit,4983985291771430,2024-05-01,805,YES,1,16717,2005-01-01,2006
868,Visa,Debit,4639713693974380,2023-02-01,69,YES,2,2121,2005-01-01,2009
1236,Visa,Debit,4386430445774420,2019-03-01,555,YES,2,1269,2005-01-01,2013
284,Visa,Debit,4529536293051710,2023-07-01,124,YES,2,18270,2005-01-01,2011
139,Visa,Debit,4276460060200380,2022-08-01,264,YES,1,20962,2005-01-01,2011
1390,Amex,Credit,343439312469610,2023-03-01,98,YES,2,21400,2006-01-01,2011
1959,Amex,Credit,398744318776089,2021-02-01,992,YES,2,11100,2006-01-01,2009
852,Amex,Credit,377759808724051,2023-10-01,360,YES,1,10300,2006-01-01,2013
1187,Amex,Credit,307297025936750,2020-12-01,918,YES,1,12100,2006-01-01,2011
1130,Amex,Credit,366703189364969,2024-01-01,3,YES,1,13500,2006-01-01,2010
311,Discover,Credit,6129847719830710,2024-08-01,972,YES,1,1800,2006-01-01,2007
1684,Mastercard,Debit,5761884540845430,2022-06-01,312,YES,1,9263,2006-01-01,2010
1512,Mastercard,Debit (Prepaid),5314994607311010,2014-06-01,406,YES,1,78,2006-01-01,2011
81,Mastercard,Credit,5810850276328480,2020-01-01,877,NO,2,0,2006-01-01,2012
946,Mastercard,Debit,5079585270593850,2021-02-01,606,YES,1,12925,2006-01-01,2010
549,Mastercard,Debit,5231421564510110,2017-01-01,865,YES,2,15416,2006-01-01,2014
248,Mastercard,Debit,5145532394563660,2013-04-01,369,YES,2,12257,2006-01-01,2010
1822,Mastercard,Debit,5279713794719680,2021-09-01,47,YES,2,14133,2006-01-01,2010
1813,Mastercard,Debit (Prepaid),5548793272738670,2024-04-01,233,YES,1,41,2006-01-01,2010
1129,Mastercard,Debit,5874992802287590,2020-05-01,256,YES,1,14802,2006-01-01,2008
1461,Mastercard,Debit,5625472759967840,2023-10-01,564,YES,2,6237,2006-01-01,2007
257,Mastercard,Debit,5556746533263400,2024-10-01,516,YES,2,6395,2006-01-01,2014
783,Mastercard,Credit,5084097673104520,2007-10-01,908,YES,2,5600,2006-01-01,2008
517,Mastercard,Credit,5781831200471520,2021-04-01,342,YES,1,5000,2006-01-01,2016
153,Visa,Debit,4382324870900900,2018-08-01,852,YES,1,32092,2006-01-01,2010
1520,Visa,Credit,4515587053760930,2023-05-01,983,YES,1,9800,2006-01-01,2015
87,Visa,Credit,4372177587368950,2022-05-01,450,YES,1,6300,2006-01-01,2011
103,Visa,Debit,4891248998438640,2023-04-01,860,YES,2,20549,2006-01-01,2007
1307,Visa,Debit,4212262433992060,2021-10-01,186,YES,2,17280,2006-01-01,2012
442,Visa,Debit,4420834293443750,2020-02-01,403,YES,1,40384,2006-01-01,2006
1736,Visa,Debit,4870854561726480,2021-06-01,880,YES,1,23631,2006-01-01,2014
1695,Visa,Debit,4038689742921260,2021-12-01,770,YES,3,2851,2006-01-01,2007
1635,Visa,Debit,4237044992015680,2022-10-01,443,YES,2,24876,2006-01-01,2009
1175,Visa,Debit,4887547650218590,2024-03-01,281,YES,2,8427,2006-01-01,2014
1458,Visa,Debit,4529699535483300,2021-05-01,329,YES,1,10982,2006-01-01,2011
376,Visa,Credit,4472791439889130,2020-10-01,900,YES,2,25300,2006-01-01,2009
779,Visa,Debit,4906021631955320,2024-01-01,889,YES,2,18888,2006-01-01,2014
459,Visa,Credit,4115517902859170,2020-02-01,685,YES,1,7000,2006-01-01,2018
984,Visa,Credit,4163142253525850,2024-05-01,949,YES,2,10600,2006-01-01,2015
1227,Amex,Credit,349565330549626,2020-04-01,178,NO,1,14600,2007-01-01,2007
280,Amex,Credit,340690023329145,2007-05-01,921,YES,1,13600,2007-01-01,2009
629,Amex,Credit,335499499050062,2020-11-01,520,NO,2,20900,2007-01-01,2007
546,Amex,Credit,391488790203553,2020-06-01,195,YES,1,17900,2007-01-01,2010
1448,Mastercard,Credit,5571363047071890,2023-09-01,510,YES,1,13200,2007-01-01,2015
820,Mastercard,Debit,5738964942904640,2020-11-01,730,YES,1,20759,2007-01-01,2009
659,Mastercard,Debit (Prepaid),5315223005212880,2020-11-01,984,YES,2,74,2007-01-01,2010
639,Mastercard,Debit,5903118148557390,2022-11-01,939,NO,3,14156,2007-01-01,2018
1031,Mastercard,Debit,5438397481754730,2021-05-01,868,YES,2,25080,2007-01-01,2012
1195,Mastercard,Debit,5516369728570920,2022-10-01,822,YES,1,10369,2007-01-01,2011
249,Mastercard,Credit,5956371730449670,2024-07-01,475,YES,2,9300,2007-01-01,2010
1744,Mastercard,Debit,5802694499966890,2022-12-01,808,YES,1,9777,2007-01-01,2009
1676,Mastercard,Debit,5828285674944280,2024-08-01,192,YES,1,17360,2007-01-01,2010
478,Mastercard,Debit,5833433820016740,2024-02-01,624,NO,3,19263,2007-01-01,2011
1181,Mastercard,Debit,5627821887128370,2020-07-01,309,YES,2,11999,2007-01-01,2015
495,Mastercard,Debit,5291637236164080,2008-06-01,568,NO,1,13772,2007-01-01,2009
1094,Visa,Debit,4556928160477220,2023-06-01,64,YES,2,2365,2007-01-01,2009
1028,Visa,Credit,4838655730073770,2021-01-01,654,YES,1,24600,2007-01-01,2011
1263,Visa,Debit,4195281570309950,2020-12-01,740,YES,1,16513,2007-01-01,2011
442,Visa,Debit,4543954544652840,2024-06-01,124,YES,1,34063,2007-01-01,2009
1757,Visa,Credit,4064761360050850,2022-07-01,528,YES,2,13200,2007-01-01,2007
1360,Visa,Credit,4142865741084770,2020-08-01,302,YES,1,9000,2007-01-01,2007
560,Visa,Debit,4905889899631040,2020-01-01,87,YES,2,16642,2007-01-01,2012
884,Visa,Debit,4603341026600180,2012-05-01,611,YES,2,1112,2007-01-01,2013
1549,Visa,Debit (Prepaid),4402937579552700,2019-11-01,585,NO,2,85,2007-01-01,2018
256,Visa,Credit,4577476596554920,2010-12-01,553,YES,2,14300,2007-01-01,2007
737,Visa,Debit,4400094918183270,2020-06-01,700,NO,1,6789,2007-01-01,2009
303,Amex,Credit,336029900720764,2020-10-01,696,NO,1,14500,2008-01-01,2011
430,Amex,Credit,320312548990885,2013-08-01,628,YES,1,9200,2008-01-01,2009
1747,Mastercard,Debit,5892013969159900,2022-08-01,879,YES,1,14499,2008-01-01,2008
140,Mastercard,Debit,5845373196638990,2022-09-01,111,YES,1,13441,2008-01-01,2011
1728,Mastercard,Debit,5042804591987310,2023-03-01,431,YES,2,1930,2008-01-01,2015
1009,Mastercard,Credit,5166184234444180,2020-02-01,459,YES,1,8500,2008-01-01,2009
909,Mastercard,Debit (Prepaid),5237569453908010,2024-03-01,599,YES,2,21,2008-01-01,2013
1300,Mastercard,Credit,5042100576719650,2022-07-01,939,YES,1,4900,2008-01-01,2011
1617,Mastercard,Debit,5907512722234560,2014-01-01,855,YES,2,3843,2008-01-01,2009
813,Mastercard,Debit,5188366223912130,2021-10-01,649,YES,2,13417,2008-01-01,2008
154,Mastercard,Debit,5175111743032890,2011-03-01,151,YES,2,12557,2008-01-01,2013
837,Mastercard,Credit,5000790097162080,2024-07-01,232,YES,2,6700,2008-01-01,2009
703,Mastercard,Credit,5388336417003780,2021-02-01,355,YES,2,8100,2008-01-01,2009
642,Mastercard,Debit,5873966669352210,2024-09-01,809,YES,2,3966,2008-01-01,2013
550,Mastercard,Credit,5413639113191400,2022-04-01,398,YES,2,4200,2008-01-01,2008
1189,Mastercard,Credit,5194782740689020,2020-07-01,83,NO,1,8100,2008-01-01,2015
1807,Mastercard,Debit (Prepaid),5207231566469660,2014-03-01,198,YES,1,89,2008-01-01,2015
1668,Mastercard,Debit,5550568534248000,2024-07-01,941,YES,2,23712,2008-01-01,2009
218,Mastercard,Credit,5226320820755910,2020-04-01,569,YES,1,9300,2008-01-01,2008
1562,Mastercard,Debit,5980129246400400,2024-02-01,42,YES,2,16815,2008-01-01,2014
291,Mastercard,Debit (Prepaid),5900191366508120,2018-08-01,94,YES,2,52,2008-01-01,2011
1370,Mastercard,Debit,5848792320156290,2020-08-01,354,YES,2,10471,2008-01-01,2010
7,Mastercard,Debit,5673440794177680,2023-04-01,44,NO,2,21274,2008-01-01,2009
1284,Mastercard,Debit,5750484233286680,2023-06-01,222,YES,2,9789,2008-01-01,2009
1310,Visa,Credit,4737484014371340,2010-02-01,221,YES,2,5500,2008-01-01,2008
217,Visa,Debit,4072893581482200,2020-12-01,578,YES,2,22746,2008-01-01,2010
1156,Visa,Credit,4860334220798370,2020-02-01,146,YES,1,61100,2008-01-01,2010
490,Visa,Debit,4654267845248710,2021-10-01,929,YES,3,30242,2008-01-01,2013
1459,Visa,Credit,4382384960777390,2020-05-01,622,NO,2,7100,2008-01-01,2011
1666,Visa,Debit,4081281007922340,2024-05-01,405,YES,1,17405,2008-01-01,2012
677,Visa,Credit,4299314704025380,2020-06-01,215,YES,2,23100,2008-01-01,2010
416,Visa,Credit,4942437694778240,2020-10-01,805,NO,2,14900,2008-01-01,2011
980,Visa,Debit,4308765406643900,2011-08-01,699,YES,1,16094,2008-01-01,2010
1816,Visa,Debit,4646403746633730,2015-04-01,115,YES,1,22648,2008-01-01,2015
1306,Visa,Debit,4840631262367430,2023-09-01,686,YES,2,17120,2008-01-01,2017
843,Visa,Debit,4441719525815760,2017-03-01,895,YES,2,10495,2008-01-01,2011
1659,Visa,Credit,4199299822093540,2015-09-01,515,YES,2,19100,2008-01-01,2008
612,Visa,Credit,4446204059905460,2020-11-01,745,YES,1,9300,2008-01-01,2008
1535,Visa,Debit,4315296241283750,2021-08-01,887,YES,1,17231,2008-01-01,2008
932,Visa,Credit,4882749213560030,2022-02-01,251,YES,2,7100,2008-01-01,2009
11,Amex,Credit,320735955126194,2019-02-01,686,YES,1,15000,2009-01-01,2011
1995,Amex,Credit,316487244875963,2023-08-01,737,NO,2,9700,2009-01-01,2009
1091,Amex,Credit,386478516235378,2024-03-01,172,NO,2,17800,2009-01-01,2009
346,Discover,Credit,6690095408585360,2022-11-01,162,YES,1,14400,2009-01-01,2009
875,Discover,Credit,6670752769501820,2014-04-01,213,NO,2,14300,2009-01-01,2010
1206,Mastercard,Credit,5328878941102910,2016-03-01,847,YES,2,17400,2009-01-01,2010
1133,Mastercard,Debit (Prepaid),5491911967251850,2024-04-01,256,YES,2,69,2009-01-01,2013
1031,Mastercard,Credit,5301525411053270,2012-07-01,424,YES,2,12500,2009-01-01,2009
123,Mastercard,Debit,5518456077758790,2020-06-01,995,YES,1,24068,2009-01-01,2009
1015,Mastercard,Debit,5656999344150650,2024-10-01,761,YES,2,66779,2009-01-01,2011
658,Mastercard,Debit,5342017674521140,2024-08-01,200,YES,2,22742,2009-01-01,2009
1398,Mastercard,Debit (Prepaid),5446786190259540,2024-10-01,287,NO,2,61,2009-01-01,2016
1072,Mastercard,Debit,5840476864492030,2020-03-01,155,NO,1,6326,2009-01-01,2010
1054,Mastercard,Debit,5913847569907560,2024-03-01,237,YES,2,15100,2009-01-01,2009
1433,Mastercard,Debit,5346665102858330,2024-01-01,734,YES,1,4534,2009-01-01,2010
738,Mastercard,Debit,5186294128669150,2023-06-01,648,YES,1,21997,2009-01-01,2011
1947,Mastercard,Debit,5671721481892550,2022-07-01,733,YES,1,11982,2009-01-01,2013
1258,Mastercard,Debit (Prepaid),5777252404670450,2023-12-01,26,YES,1,65,2009-01-01,2009
217,Visa,Credit,4409790595650710,2012-05-01,839,YES,2,8200,2009-01-01,2011
299,Visa,Debit,4282874431983770,2020-05-01,127,YES,1,13009,2009-01-01,2009
1334,Visa,Credit,4144931322114010,2014-08-01,312,NO,1,9300,2009-01-01,2009
1204,Visa,Debit,4780113572248860,2022-10-01,498,YES,1,36641,2009-01-01,2009
581,Visa,Debit,4566018104845490,2020-08-01,490,YES,1,12589,2009-01-01,2011
605,Visa,Credit,4542762527059520,2022-12-01,70,YES,1,13500,2009-01-01,2009
804,Visa,Credit,4108680950969750,2012-08-01,988,NO,2,5400,2009-01-01,2011
1077,Visa,Debit,4411367352091200,2020-04-01,508,YES,2,20114,2009-01-01,2009
801,Visa,Credit,4237390837653260,2024-09-01,620,YES,1,8600,2009-01-01,2010
1398,Visa,Debit,4290693805811510,2016-09-01,32,YES,1,23392,2009-01-01,2011
895,Visa,Credit,4419165641059150,2023-11-01,167,YES,1,10300,2009-01-01,2013
1105,Visa,Debit,4755440234138020,2020-10-01,584,YES,1,4507,2009-01-01,2019
1380,Visa,Debit (Prepaid),4405922261615510,2011-06-01,725,YES,1,85,2009-01-01,2009
932,Visa,Debit,4759540467704660,2019-06-01,306,YES,2,6204,2009-01-01,2015
846,Amex,Credit,371624685132627,2022-10-01,297,YES,2,18400,2010-01-01,2015
1815,Amex,Credit,371091834390039,2020-02-01,858,YES,2,17800,2010-01-01,2011
299,Mastercard,Debit,5541834458092370,2024-03-01,143,YES,1,5575,2010-01-01,2010
1575,Mastercard,Debit,5107151477861230,2021-06-01,365,YES,1,23016,2010-01-01,2010
1078,Mastercard,Debit,5792661772040760,2023-10-01,862,YES,2,18092,2010-01-01,2015
729,Mastercard,Debit,5279503639469020,2020-02-01,613,YES,2,23039,2010-01-01,2010
123,Mastercard,Debit,5329313809426340,2020-11-01,20,YES,2,12102,2010-01-01,2010
1541,Mastercard,Debit,5090352145878320,2024-09-01,699,NO,2,12157,2010-01-01,2019
1749,Mastercard,Debit,5793881452789120,2019-06-01,784,YES,2,1213,2010-01-01,2010
132,Mastercard,Debit (Prepaid),5935629380160000,2020-10-01,160,YES,2,59,2010-01-01,2011
938,Mastercard,Credit,5664342346978780,2023-09-01,123,YES,1,12500,2010-01-01,2012
723,Mastercard,Debit,5737194797232030,2023-02-01,310,YES,2,13529,2010-01-01,2010
859,Mastercard,Credit,5753025722639040,2023-09-01,224,YES,2,8800,2010-01-01,2010
1453,Mastercard,Debit,5453158719013760,2011-11-01,732,YES,2,4136,2010-01-01,2010
1439,Mastercard,Debit,5289852815253240,2017-11-01,351,YES,2,10707,2010-01-01,2010
1256,Mastercard,Debit (Prepaid),5018794058509930,2021-01-01,807,YES,2,79,2010-01-01,2011
1141,Mastercard,Debit,5787921795028280,2020-07-01,29,YES,2,2397,2010-01-01,2013
1682,Mastercard,Credit,5970339574772530,2021-10-01,757,YES,2,13200,2010-01-01,2014
155,Mastercard,Debit,5290515548238200,2022-12-01,813,NO,1,9294,2010-01-01,2011
218,Mastercard,Debit,5031033208388940,2024-03-01,565,YES,2,11694,2010-01-01,2012
1449,Mastercard,Debit,5134527149271240,2022-02-01,755,YES,2,11457,2010-01-01,2016
203,Visa,Credit,4716309780327850,2022-07-01,275,YES,1,9100,2010-01-01,2010
11,Visa,Debit,4144574679317190,2024-03-01,543,YES,2,17208,2010-01-01,2016
1206,Visa,Debit,4866080343433200,2010-05-01,1,YES,2,41205,2010-01-01,2010
1546,Visa,Debit,4030476430498480,2013-07-01,437,YES,2,2181,2010-01-01,2011
1942,Visa,Debit (Prepaid),4709797841612620,2022-06-01,186,YES,2,11,2010-01-01,2010
50,Visa,Credit,4319140159818940,2023-06-01,418,YES,2,12700,2010-01-01,2010
319,Visa,Credit,4086497597276970,2021-03-01,383,YES,2,6800,2010-01-01,2010
1843,Visa,Debit,4348922167384220,2022-06-01,256,YES,2,8702,2010-01-01,2014
1451,Visa,Debit,4138363239181100,2023-03-01,48,YES,1,20475,2010-01-01,2015
649,Visa,Debit,4827129780511980,2024-03-01,941,YES,1,8280,2010-01-01,2010
69,Visa,Credit,4565836303791150,2021-09-01,441,YES,2,3900,2010-01-01,2010
332,Visa,Debit,4680771406185120,2013-01-01,913,YES,1,7452,2010-01-01,2018
1443,Visa,Debit,4384381555415270,2018-06-01,608,YES,2,3973,2010-01-01,2016
107,Visa,Debit (Prepaid),4664388076567370,2022-03-01,796,NO,1,66,2010-01-01,2011
1470,Visa,Debit,4474584531104230,2020-07-01,20,NO,2,3365,2010-01-01,2010
1856,Visa,Debit,4766091276666910,2016-03-01,750,YES,2,3909,2010-01-01,2010
209,Visa,Credit,4214239191578440,2020-05-01,231,YES,2,8700,2010-01-01,2010
1837,Visa,Debit,4205821347854720,2020-05-01,679,YES,1,8800,2010-01-01,2010
1659,Visa,Debit,4419460752105610,2023-02-01,113,YES,1,18116,2010-01-01,2010
373,Visa,Debit,4139199465174930,2021-10-01,9,YES,2,6688,2010-01-01,2016
590,Visa,Debit,4770207045170230,2022-11-01,959,NO,2,7644,2010-01-01,2010
986,Visa,Debit,4351221158003580,2012-08-01,302,YES,2,27317,2010-01-01,2010
1476,Amex,Credit,351118771819506,2021-05-01,551,YES,1,10400,2011-01-01,2011
37,Discover,Credit,6845375674595530,2024-02-01,943,YES,1,0,2011-01-01,2011
1759,Discover,Credit,6451744848809890,2023-10-01,409,YES,1,12300,2011-01-01,2011
645,Mastercard,Debit,5097891088528730,2023-09-01,447,YES,1,5857,2011-01-01,2012
223,Mastercard,Credit,5682154590913950,2012-11-01,9,YES,3,15900,2011-01-01,2011
427,Mastercard,Debit (Prepaid),5533615337478090,2022-09-01,743,YES,1,79,2011-01-01,2011
103,Mastercard,Debit,5593047322938360,2020-02-01,697,YES,1,15023,2011-01-01,2011
252,Mastercard,Debit (Prepaid),5762124532464440,2024-10-01,43,YES,2,35,2011-01-01,2011
1229,Mastercard,Debit,5896034364726400,2023-01-01,588,YES,1,19238,2011-01-01,2011
940,Mastercard,Debit,5543612189896620,2024-09-01,0,YES,2,26534,2011-01-01,2011
1695,Mastercard,Debit,5322366368652290,2016-01-01,702,YES,2,20838,2011-01-01,2011
1501,Mastercard,Debit,5365244955303240,2020-03-01,523,NO,1,17717,2011-01-01,2011
947,Mastercard,Debit (Prepaid),5337242427884900,2020-07-01,389,YES,2,79,2011-01-01,2011
1730,Mastercard,Debit,5016922849464000,2020-12-01,869,YES,1,25429,2011-01-01,2011
1974,Mastercard,Debit,5805044569196970,2020-01-01,947,YES,1,15195,2011-01-01,2011
155,Mastercard,Credit,5689609387142030,2021-02-01,393,NO,1,7800,2011-01-01,2011
267,Mastercard,Debit,5625635561969960,2023-07-01,310,YES,2,10636,2011-01-01,2011
708,Visa,Credit,4017261190134810,2015-05-01,877,YES,2,98100,2011-01-01,2011
1602,Visa,Credit,4698943729070490,2020-09-01,450,YES,1,6600,2011-01-01,2013
1378,Visa,Debit,4686786422368480,2021-08-01,648,YES,1,21757,2011-01-01,2011
636,Visa,Debit,4071490746118660,2020-07-01,498,YES,1,12057,2011-01-01,2018
196,Visa,Credit,4997594823384910,2021-10-01,0,YES,2,4300,2011-01-01,2011
764,Visa,Debit,4127768354829500,2020-04-01,462,YES,1,16109,2011-01-01,2011
1345,Visa,Debit,4988009818611000,2021-05-01,45,YES,2,16857,2011-01-01,2017
272,Visa,Debit,4058050157220590,2020-03-01,102,YES,1,2670,2011-01-01,2011
1788,Visa,Debit,4762069063483780,2023-03-01,474,YES,2,26255,2011-01-01,2011
1793,Visa,Debit (Prepaid),4525019658850210,2022-10-01,425,YES,2,60,2011-01-01,2011
1811,Visa,Debit,4077584980284620,2021-12-01,84,NO,2,7821,2011-01-01,2014
532,Visa,Debit,4092634167714570,2024-04-01,721,YES,1,25919,2011-01-01,2011
321,Amex,Credit,324067922186663,2018-08-01,194,YES,1,3300,2012-01-01,2012
964,Amex,Credit,340045632784763,2020-02-01,218,YES,1,13700,2012-01-01,2012
1769,Mastercard,Debit (Prepaid),5928394327706850,2021-11-01,853,NO,1,78,2012-01-01,2012
1402,Mastercard,Credit,5190611696772110,2018-10-01,920,YES,2,25300,2012-01-01,2012
1686,Mastercard,Debit,5422337679062470,2024-02-01,976,YES,1,48003,2012-01-01,2012
729,Mastercard,Debit,5279484044685390,2023-04-01,166,YES,1,17795,2012-01-01,2012
1797,Mastercard,Debit,5586398791957980,2022-03-01,828,YES,1,27243,2012-01-01,2012
1797,Mastercard,Debit,5535701151074660,2022-02-01,987,YES,1,16279,2012-01-01,2012
1116,Visa,Credit,4808554251869440,2021-02-01,921,YES,2,8700,2012-01-01,2012
854,Visa,Debit,4120824887309570,2023-06-01,110,YES,1,24826,2012-01-01,2012
